Feature,Gain,Importance
inconvenient,0.000272617782412976,0.000272617782412976
agree,0.000272514346125499,0.000272514346125499
home,0.000271471691115814,0.000271471691115814
plan,0.000270175951101838,0.000270175951101838
a900,0.000269930053076343,0.000269930053076343
junky,0.00026972737600829,0.00026972737600829
bend,0.000269578656811692,0.000269578656811692
amount,0.000269358033636503,0.000269358033636503
grados,0.000268374636694644,0.000268374636694644
flaw,0.000263691579056377,0.000263691579056377
budgetary,0.000261860088607702,0.000261860088607702
support,0.000261167673482174,0.000261167673482174
pass,0.000260686836610343,0.000260686836610343
tip,0.000260107218646846,0.000260107218646846
award,0.000260030666713227,0.000260030666713227
mp3,0.000259417628740663,0.000259417628740663
notice,0.000259065021522711,0.000259065021522711
awkward,0.000258157740265425,0.000258157740265425
white,0.000257081395278099,0.000257081395278099
curtious,0.000256967072841224,0.000256967072841224
extremely,0.000256524901088212,0.000256524901088212
meet,0.000255531428097855,0.000255531428097855
headache,0.000255080016276145,0.000255080016276145
background,0.000254773064475393,0.000254773064475393
live,0.00025467989616371,0.00025467989616371
level,0.000254665284374599,0.000254665284374599
process,0.00025463527318375,0.00025463527318375
sport,0.000254431264438689,0.000254431264438689
outstanding,0.000254339977306404,0.000254339977306404
girlfriend,0.000253841286358743,0.000253841286358743
law,0.000252677189691222,0.000252677189691222
slip,0.000252449987430993,0.000252449987430993
wait,0.000251671061655468,0.000251671061655468
awhile,0.000251445819703042,0.000251445819703042
source,0.000250674451121877,0.000250674451121877
fault,0.000250391991495442,0.000250391991495442
shape,0.000249509624301237,0.000249509624301237
unplug,0.000249117147603665,0.000249117147603665
isolation,0.000248504918041881,0.000248504918041881
fail,0.000248342149263937,0.000248342149263937
greatly,0.000247995430598509,0.000247995430598509
serve,0.000247775571674127,0.000247775571674127
tin,0.000246512336130829,0.000246512336130829
fairly,0.000246100924469742,0.000246100924469742
xplosives,0.000245806171411533,0.000245806171411533
note,0.000245513734341129,0.000245513734341129
sell,0.000243172689749332,0.000243172689749332
bother,0.000242781021228344,0.000242781021228344
wow,0.00024259219293545,0.00024259219293545
flexible,0.000241549200192442,0.000241549200192442
chance,0.000241179371673552,0.000241179371673552
cheat,0.000240285921997227,0.000240285921997227
inside,0.000239806706609241,0.000239806706609241
past,0.000235790854890439,0.000235790854890439
hollow,0.000235627662624776,0.000235627662624776
wife,0.000235124562948979,0.000235124562948979
canal,0.000235045374032392,0.000235045374032392
perfection,0.000233564621023002,0.000233564621023002
provide,0.000232180484314117,0.000232180484314117
