Feature,Gain,Importance
activate,0.000426909002415016,0.000426909002415016
free,0.000425822747523121,0.000425822747523121
venezuela,0.000425046786058577,0.000425046786058577
future,0.000421082457534273,0.000421082457534273
business,0.00042083064215565,0.00042083064215565
tone,0.00041868833333815,0.00041868833333815
drop,0.000418171494557882,0.000418171494557882
choose,0.0004144822131036,0.0004144822131036
customer,0.000412414037075936,0.000412414037075936
00,0.000411599940568574,0.000411599940568574
complis,0.00040878542145045,0.00040878542145045
technique,0.000407647567303325,0.000407647567303325
night,0.000407202903032014,0.000407202903032014
impress,0.000405858858139946,0.000405858858139946
display,0.000405101042617207,0.000405101042617207
de,0.000403946931704059,0.000403946931704059
hold,0.000402496122071297,0.000402496122071297
faulty,0.00040159798954067,0.00040159798954067
mini,0.000398880893207578,0.000398880893207578
loud,0.00039880203031179,0.00039880203031179
htc,0.000398419203472033,0.000398419203472033
everythin,0.000395325101313102,0.000395325101313102
online,0.000395122715408728,0.000395122715408728
clean,0.000394941448912968,0.000394941448912968
4s,0.000394106726684121,0.000394106726684121
house,0.000393747435003406,0.000393747435003406
person,0.000392239586585705,0.000392239586585705
son,0.000392212177810972,0.000392212177810972
straight,0.000391057452850496,0.000391057452850496
nokias,0.000388891980836163,0.000388891980836163
duplicate,0.000386750546835902,0.000386750546835902
6,0.00038629977479989,0.00038629977479989
plastic,0.0003862649466814,0.0003862649466814
didt,0.000385673099145585,0.000385673099145585
regret,0.000375131558208812,0.000375131558208812
record,0.000374910415995294,0.000374910415995294
front,0.000372665964486977,0.000372665964486977
attempt,0.000371498201468932,0.000371498201468932
charm,0.000371490562325663,0.000371490562325663
note,0.000365478521016173,0.000365478521016173
scratch,0.000363587481890975,0.000363587481890975
offer,0.00035705341766957,0.00035705341766957
internet,0.000355865822408528,0.000355865822408528
option,0.000355795580511231,0.000355795580511231
pain,0.000355349696742202,0.000355349696742202
horribly,0.000354658550180949,0.000354658550180949
false,0.000352893695417636,0.000352893695417636
lte,0.000349752904330612,0.000349752904330612
cut,0.000349538291862894,0.000349538291862894
ship,0.000347914015613107,0.000347914015613107
anymore,0.00034726032013053,0.00034726032013053
low,0.000347241721058437,0.000347241721058437
lg,0.0003471269959084,0.0003471269959084
error,0.000346708618195634,0.000346708618195634
reason,0.000346378216680732,0.000346378216680732
awhile,0.000346111265310619,0.000346111265310619
1st,0.000342809341162262,0.000342809341162262
phablet,0.000341431914606288,0.000341431914606288
0,0.000341086138403988,0.000341086138403988
spend,0.000339381533138587,0.000339381533138587
cover,0.00033702047998397,0.00033702047998397
100,0.000336529162068352,0.000336529162068352
music,0.000334386793090453,0.000334386793090453
highly,0.000334218356865483,0.000334218356865483
forecast,0.000333048578942042,0.000333048578942042
ready,0.000332128920815942,0.000332128920815942
bold,0.000329793331250978,0.000329793331250978
trouble,0.000329721198726783,0.000329721198726783
bill,0.00032494525265192,0.00032494525265192
promptly,0.000324351064093966,0.000324351064093966
performance,0.000323067675353381,0.000323067675353381
remove,0.00032273867287979,0.00032273867287979
email,0.00031991714998642,0.00031991714998642
heavy,0.000319740931179512,0.000319740931179512
instruction,0.000319360592215002,0.000319360592215002
wait,0.00031921225640001,0.00031921225640001
nut,0.000318687194748968,0.000318687194748968
datum,0.000318604271080595,0.000318604271080595
major,0.000317798353456765,0.000317798353456765
hear,0.000317493177983462,0.000317493177983462
uscellular,0.000317395521007589,0.000317395521007589
onle,0.000316048836491896,0.000316048836491896
figure,0.000314214487711391,0.000314214487711391
frustrate,0.000313340454215366,0.000313340454215366
finally,0.000313209461771126,0.000313209461771126
tend,0.00031256508076869,0.00031256508076869
effort,0.000311770078636558,0.000311770078636558
read,0.00031121307257205,0.00031121307257205
personal,0.000310828955837216,0.000310828955837216
vasinov,0.000307840215986974,0.000307840215986974
unlike,0.000307038590439686,0.000307038590439686
destroy,0.000305179407401644,0.000305179407401644
beautiful,0.000303986169793515,0.000303986169793515
respond,0.000303687799965997,0.000303687799965997
shop,0.000303530138464288,0.000303530138464288
solve,0.000302881312230055,0.000302881312230055
fit,0.000302500775187617,0.000302500775187617
thin,0.000301393506833634,0.000301393506833634
recellulartoo,0.000299238262092788,0.000299238262092788
answer,0.000298436891966564,0.000298436891966564
peru,0.000297851820012427,0.000297851820012427
web,0.000297227902206474,0.000297227902206474
dominican,0.000297184933535546,0.000297184933535546
type,0.000296802562517255,0.000296802562517255
motorola,0.00029652949026698,0.00029652949026698
sooo,0.000294638570808202,0.000294638570808202
basically,0.000294633207665063,0.000294633207665063
usa,0.000293334969329427,0.000293334969329427
discrete,0.000290697896251864,0.000290697896251864
model,0.000288265673028044,0.000288265673028044
dad,0.000287451914102316,0.000287451914102316
standard,0.000287315215219552,0.000287315215219552
previous,0.000286487335186946,0.000286487335186946
keyboard,0.000286126277152105,0.000286126277152105
propery,0.000285911350082077,0.000285911350082077
lack,0.000284459832459775,0.000284459832459775
reconstruct,0.000283819331995823,0.000283819331995823
pro,0.000283763607575756,0.000283763607575756
durable,0.000281317846211013,0.000281317846211013
correct,0.000280699871487791,0.000280699871487791
switch,0.000278753711954363,0.000278753711954363
